1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,2
11,1
12,1
13,1
14,1
15,2
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,2
31,1
32,1
33,1
34,2
35,1
36,1
37,1
38,2
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,1
53,2
54,1
55,1
56,1
57,1
58,1
59,1
60,2
61,1
62,2
63,1
64,1
65,1
66,2
67,1
68,2
69,1
70,1
71,2
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,2
84,1
85,1
86,1
87,1
88,2
89,2
90,1
91,1
92,2
93,2
94,1
95,1
96,2
97,2
98,1
99,2
100,1
101,1
102,1
103,2
104,2
105,1
106,2
107,1
108,2
109,1
110,1
111,2
112,1
113,2
114,2
115,2
116,2
117,1
118,2
119,1
120,2
121,1
122,2
123,2
124,2
125,2
126,1
127,2
128,1
129,1
130,1
131,2
132,1
133,1
134,1
135,1
136,1
137,2
138,1
139,1
140,1
141,1
142,2
143,1
144,1
145,2
146,2
147,1
148,1
149,1
150,2
151,1
152,1
153,2
154,2
155,1
156,1
157,1
158,2
159,1
160,1
161,1
162,1
163,2
164,2
165,1
166,2
167,1
168,1
169,1
170,2
171,1
172,1
173,2
174,1
175,1
176,2
177,2
178,1
179,1
180,1
181,1
182,2
183,1
184,2
185,1
186,2
187,1
188,1
189,2
190,2
191,1
192,1
193,2
194,2
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,2
203,1
204,2
205,2
206,2
207,2
208,1
209,2
210,1
211,2
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,2
225,1
226,1
227,2
228,2
229,2
230,1
231,2
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,2
246,1
247,1
248,2
249,1
250,2
251,1
252,1
253,2
254,1
255,1
256,2
257,1
258,2
259,2
260,1
261,2
262,1
263,2
264,2
265,1
266,1
267,2
268,2
269,1
270,2
